Vrus taxid	Virus name	Virus refseq 	Host tax id	pmid	Evidence
565140	Bacillus phage TP21-L	NC_011645	1396	21994663	Literature
57477	Bacillus phage Bastille	NC_018856	1396		RefSeq
584892	Bacillus phage Bcp1	NC_024137	1396		RefSeq
701257	Bacillus virus 250	NC_029024	1396		RefSeq
764595	Bacillus phage W.Ph.	NC_016563	1396		RefSeq
1084719	Bacillus virus G	NC_023719	1404		RefSeq
1406786	Bacillus phage Page	NC_022764	1404		RefSeq
1406787	Bacillus phage poppyseed	KF669657	1404		RefSeq
1406789	Bacillus phage Pony	NC_022770	1404		RefSeq
1406790	Bacillus phage Slash	NC_022774	1404		RefSeq
1406792	Bacillus phage Staley	NC_022767	1404		RefSeq
1540090	Bacillus phage Mater	NC_027366	1404		RefSeq
1540091	Bacillus phage Moonbeam	NC_027374	1404		RefSeq
1540092	Bacillus phage Pascal	NC_027372	1404		RefSeq
1540093	Bacillus phage Pookie	NC_027394	1404		RefSeq
1597966	Bacillus phage Palmer	NC_028926	1404	25953175	"Literature, RefSeq"
1610832	Bacillus phage Stahl	NC_028856	1404	26251491	"Literature, RefSeq"
1610833	Bacillus phage Stills	NC_028777	1404	26251490	"Literature, RefSeq"
1675598	Bacillus phage Pavlov	NC_028782	1404	26337888	"Literature, RefSeq"
1755679	Bacillus phage BM5	NC_029069	1404		RefSeq
1776293	Bacillus phage Eldridge	NC_030920	1404		RefSeq
1204533	Bacillus phage phiAGATE	NC_020081	1408		RefSeq
1406782	Bacillus virus Blastoid	NC_022773	1408		RefSeq
1406784	Bacillus virus Glittering	NC_022766	1408		RefSeq
1406788	Bacillus virus Riggi	NC_022765	1408		RefSeq
1445810	Bacillus phage Bp8p-C	NC_029121	1408		RefSeq
1445811	Bacillus phage Bp8p-T	KJ010548	1408		RefSeq
66797	Bacillus virus SPbeta	NC_001884	1408		UniProt
10685	Bacillus virus SPO1	NC_011421	1423		"RefSeq, UniProt"
10717	Bacillus phage phi105	NC_004167	1423		UniProt
10724	Bacillus phage SPP1	NC_004166	1423		UniProt
10753	Bacillus phage Nf	EU622808	1423		UniProt
10756	Bacillus virus phi29	NC_011048	1423		"RefSeq, UniProt"
10757	Bacillus phage PZA	M11813	1423		"RefSeq, UniProt"
10778	Bacillus virus B103	NC_004165	1423		"RefSeq, UniProt"
12345	Bacillus virus GA1	NC_002649	1423		UniProt
1406783	Bacillus phage CampHawk	NC_022761	1423		RefSeq
1406785	Bacillus phage Grass	NC_022771	1423		RefSeq
1497851	Bacillus phage SPG24	NC_030903	1423		RefSeq
207656	Bacillus phage phiNIT1	NC_021856	1423		RefSeq
66797	Bacillus virus SPbeta	NC_001884	1423		"RefSeq, UniProt"
941058	Bacillus phage SP-10	NC_019487	1423	21597187	Literature
1105171	Bacteroides phage B124-14	NC_016770	817		RefSeq
99179	Bacteroides phage B40-8	NC_011222	817		RefSeq
1035662	Bdellovibrio phage phi1402	NC_015721	959		RefSeq
1127515	Bdellovibrio phage phi1422	NC_019525	959		RefSeq
145579	Bdellovibrio phage phiMH2K	NC_002643	959		"RefSeq, UniProt"
194699	Bordetella virus BPP1	NC_005357	518		"RefSeq, UniProt"
1296658	Brevibacillus phage Jimmer2	KC595514	1465		RefSeq
1296659	Brevibacillus phage Jimmer1	NC_029104	1465		RefSeq
1296660	Brevibacillus phage Emery	KC595516	1465		RefSeq
1296661	Brevibacillus phage Abouo	NC_029029	1465		RefSeq
1296662	Brevibacillus phage Davies	NC_022980	1465		RefSeq
1691954	Brevibacillus phage Jenst	NC_028805	1465	26494658	"Literature, RefSeq"
1691955	Brevibacillus phage Osiris	NC_028969	1465	26494658	"Literature, RefSeq"
1691958	Brevibacillus phage Sundance	NC_028749	1465	26494658	"Literature, RefSeq"
764561	Brochothrix phage NF5	NC_015252	2756		RefSeq
764562	Brochothrix phage BL3	NC_015254	2756		RefSeq
857312	Brochothrix phage A9	NC_015253	2756		RefSeq
1308869	Brucella phage Bk	KC556893	29459		RefSeq
1136535	Burkholderia virus DC1	NC_018452	292		RefSeq
209052	Burkholderia virus Bcep781	NC_004333	292		"RefSeq, UniProt"
242861	Burkholderia phage BcepNazgul	NC_005091	292		RefSeq
260373	Burkholderia virus Bcep43	NC_005342	292		RefSeq
279280	Burkholderia virus BcepC6B	NC_005887	292		RefSeq
348137	Burkholderia phage Bcep176	NC_007497	292		RefSeq
437329	Burkholderia phage BcepGomr	NC_009447	292		RefSeq
1235712	Burkholderia phage phiX216	JX681814	28450		RefSeq
1282994	Burkholderia phage ST79	NC_021343	28450		RefSeq
255131	Burkholderia virus phi1026b	NC_005284	28450		RefSeq
332032	Burkholderia virus phi52237	NC_007145	28450		RefSeq
431891	Burkholderia virus phi6442	NC_009235	28450		RefSeq
431892	Burkholderia virus phiE122	NC_009236	28450		RefSeq
1110702	Campylobacter virus CPX	NC_016562	197		RefSeq
1541686	Campylobacter phage PC14	NC_031909	197		RefSeq
934027	Campylobacter virus NCTC12673	NC_015464	197		RefSeq
990550	Campylobacter virus CP81	FR823450	197		RefSeq
340054	Bacteriophage APSE-2	NC_011551	138072		RefSeq
941969	Liberibacter phage SC1	NC_019549	34021		RefSeq
941970	Liberibacter phage SC2	NC_019550	34021		RefSeq
1204537	Caulobacter virus phiCbK	NC_019405	155892		RefSeq
1211640	Caulobacter phage CcrColossus	NC_019406	155892		RefSeq
1211641	Caulobacter virus Karma	NC_019410	155892		RefSeq
1211642	Caulobacter virus Magneto	NC_019407	155892		RefSeq
1211643	Caulobacter virus Rogue	NC_019408	155892		RefSeq
1211644	Caulobacter virus Swift	NC_019411	155892		RefSeq
767473	Caulobacter phage phiCb5	NC_019453	155892		RefSeq
1327968	Cellulophaga phage phi48:2	NC_021793	76594		RefSeq
1327969	Cellulophaga phage phi12:2	NC_021797	76594		RefSeq
1327970	Cellulophaga phage phi19:1	NC_021799	76594		RefSeq
1327971	Cellulophaga phage phi19:3	NC_021789	76594		RefSeq
1327972	Cellulophaga phage phi17:2	NC_021798	76594		RefSeq
1327973	Cellulophaga phage phi3ST:2	KC821610	76594		RefSeq
1327974	Cellulophaga phage phi46:1	NC_021800	76594		RefSeq
1327975	Cellulophaga phage phi40:1	KC821612	76594		RefSeq
1327976	Cellulophaga phage phi12:1	NC_021791	76594		RefSeq
1327979	Cellulophaga phage phi12:3	KC821615	76594		RefSeq
1327980	Cellulophaga phage phi17:1	NC_021795	76594		RefSeq
1327981	Cellulophaga phage phi10:1	NC_021802	76594		RefSeq
1327982	Cellulophaga phage phi18:1	NC_021790	76594		RefSeq
1327983	Cellulophaga phage phi18:3	NC_021794	76594		RefSeq
1327984	Cellulophaga phage phi19:2	KC821621	76594		RefSeq
1327985	Cellulophaga phage phi46:3	NC_021792	76594		RefSeq
1327987	Cellulophaga phage phi12a:1	NC_021805	76594		RefSeq
1327990	Cellulophaga phage phi14:2	NC_021806	76594		RefSeq
1327992	Cellulophaga phage phi13:1	KC821625	76594		RefSeq
1327993	Cellulophaga phage phi39:1	NC_021804	76594		RefSeq
1327995	Cellulophaga phage phi18:2	KC821627	76594		RefSeq
1327997	Cellulophaga phage phi18:4	KC821628	76594		RefSeq
1328028	Cellulophaga phage phi48:1	KC821631	76594		RefSeq
1328029	Cellulophaga phage phi4:1	NC_021788	76594		RefSeq
1328030	Cellulophaga phage phi13:2	NC_021803	76594		RefSeq
756279	Cellulophaga phage phi3:1	KC821630	76594		RefSeq
756281	Cellulophaga phage phi47:1	KC821634	76594		RefSeq
105154	Chlamydia phage 2	NC_002194	83554		RefSeq
10857	Chlamydia phage 1	NC_001741	83554		"RefSeq, UniProt"
90963	Guinea pig Chlamydia phage	NC_001998	83554		RefSeq
1527524	Citrobacter phage Miller	NC_025414	546	25593263	Literature
1540094	Citrobacter phage Moogle	NC_027293	546		RefSeq
1540095	Citrobacter phage Moon	NC_027331	546		RefSeq
1540096	Citrobacter phage Stevie	NC_027350	546		RefSeq
1610508	Citrobacter phage phiCFP-1	NC_028880	546		RefSeq
1673887	Citrobacter phage IME-CF2	NC_029013	546		RefSeq
1675602	Citrobacter phage Merlin	NC_028857	546	26430046	"Literature, RefSeq"
1675603	Citrobacter phage Michonne	NC_028247	546		RefSeq
1805464	Citrobacter phage SH1	NC_031066	546		RefSeq
1805465	Citrobacter phage SH2	NC_031092	546		RefSeq
1805466	Citrobacter phage SH3	NC_031123	546		RefSeq
1805467	Citrobacter phage SH4	NC_031018	546		RefSeq
1406793	Clavibacter phage CN1A	NC_023549	28447		RefSeq
1032362	Clostridium phage phiCD38-2	NC_015568	1496		RefSeq
1204534	Clostridium phage phiMMP02	NC_019421	1496		RefSeq
1204535	Clostridium phage phiMMP04	NC_019422	1496		RefSeq
1411095	Clostridium phage CDMH1	NC_024144	1496	24475037	Literature
1437363	Clostridium phage phiCDHM13	NC_029116	1496		RefSeq
1582149	Clostridium phage phiCD24-1	LN681534	1496		RefSeq
1582150	Clostridium phage phiCD111	NC_028905	1496		RefSeq
1582151	Clostridium phage phiCD146	NC_028958	1496		RefSeq
1582152	Clostridium phage phiCD211	NC_029048	1496		RefSeq
1582153	Clostridium phage phiCD481-1	NC_028951	1496		RefSeq
1582154	Clostridium phage phiCD505	NC_028764	1496		RefSeq
1582155	Clostridium phage phiCD506	NC_028838	1496		RefSeq
1582156	Clostridium phage phiMMP01	NC_028883	1496		RefSeq
1582157	Clostridium phage phiMMP03	NC_028959	1496		RefSeq
262071	Clostridium virus phiC2	NC_009231	1496		RefSeq
320122	Clostridium virus phiCD119	NC_007917	1496		"RefSeq, UniProt"
559189	Clostridium virus phiCD27	NC_011398	1496		RefSeq
864178	Clostridium phage phiCD6356	NC_015262	1496		RefSeq
12336	Clostridium phage c-st	NC_007581	1491		"RefSeq, UniProt"
1042122	Clostridium phage phiCP13O	NC_019506	1502		RefSeq
1042123	Clostridium phage phiCP34O	NC_019508	1502		RefSeq
1042124	Clostridium phage phiCP9O	JF767210	1502		RefSeq
1128071	Clostridium phage phi24R	NC_019523	1502		RefSeq
1162304	Clostridium phage phiCP7R	NC_017980	1502		RefSeq
1162305	Clostridium phage phiCPV4	NC_018083	1502		RefSeq
1162306	Clostridium phage phiZP2	NC_018084	1502		RefSeq
1187894	Clostridium phage PhiS63	NC_017978	1502		RefSeq
1305708	Clostridium phage vB_CpeS-CP51	NC_021325	1502		RefSeq
190478	Clostridium phage phi3626	NC_003524	1502		RefSeq
541865	Clostridium phage phiCP39-O	NC_011318	1502		RefSeq
673376	Clostridium phage phiCP26F	NC_019496	1502		RefSeq
1567009	Clostridium phage phiCT19406A	NC_030950	1513		RefSeq
1567010	Clostridium phage phiCT19406B	NC_030947	1513		RefSeq
1567011	Clostridium phage phiCT19406C	NC_029006	1513		RefSeq
1567012	Clostridium phage phiCT453A	NC_028991	1513		RefSeq
1567013	Clostridium phage phiCT453B	NC_029004	1513		RefSeq
1567015	Clostridium phage phiCTC2A	NC_030949	1513		RefSeq
1567016	Clostridium phage phiCTC2B	NC_030951	1513		RefSeq
871584	Clostridium phage phiCTP1	NC_014457	1519	20581196	Literature
384848	Corynebacterium phage P1201	NC_009816	1718		RefSeq
1073754	Cronobacter phage ES2	JF314845	28141		RefSeq
1073767	Cronobacter virus ESP29491	NC_019509	28141		RefSeq
1141135	Cronobacter phage vB_CsaM_GAP31	NC_019400	28141		RefSeq
1141136	Cronobacter phage vB_CsaM_GAP32	NC_019401	28141		RefSeq
1141137	Cronobacter phage vB_CsaP_GAP52	NC_019402	28141		RefSeq
1141138	Cronobacter phage vB_CsaM_GAP161	NC_019398	28141		RefSeq
1162290	Cronobacter phage CR9	NC_023717	28141		RefSeq
1162295	Cronobacter phage CR3	NC_017974	28141		RefSeq
1195085	Cronobacter phage CR5	NC_021531	28141		RefSeq
1264737	Cronobacter phage vB_CskP_GAP227	NC_020078	28141		RefSeq
1327934	Cronobacter phage CR8	NC_024354	28141		RefSeq
1327935	Cronobacter phage S13	NC_028773	28141		RefSeq
1498011	Cronobacter phage vB_CsaP_Ss1	KM058087	28141		RefSeq
947842	Cronobacter phage ESSI-2	HQ110083	28141		RefSeq
984175	Cronobacter phage ENT39118	NC_019934	28141		RefSeq
984186	Cronobacter phage ENT47670	NC_019927	28141		RefSeq
665032	Deftia phage phiW-14	NC_013697	80866		RefSeq
1091052	Dickeya virus Limestone	NC_019925	1089444		RefSeq
1477404	Dinoroseobacter phage DFL12phi1	NC_024367	215813		RefSeq
1498169	Dinoroseobacter phage vBDshPR2C	KJ803031	215813		RefSeq
1325372	Edwardsiella phage PEi21	NC_021342	67780		RefSeq
1391659	Edwardsiella phage eiAU-183	NC_023555	67780		RefSeq
1608310	Edwardsiella phage PEi20	NC_028683	67780		RefSeq
945083	Edwardsiella phage eiAU	KF772233	67780		RefSeq
1147139	Enterobacter phage phiKDA1	JQ267518	550		RefSeq
1455074	Enterobacter phage PG7	NC_023561	550		RefSeq
1636313	Enterobacter phage E-2	NC_029102	550		RefSeq
1636314	Enterobacter phage E-3	NC_028795	550		RefSeq
1636315	Enterobacter phage E-4	KP791807	550		RefSeq
942016	Enterobacter phage EcP1	NC_019485	550		RefSeq
1073766	Enterococcus phage SAP6	JF731128	1351		RefSeq
1173135	Enterococcus phage BC611	NC_018086	1351		RefSeq
1204540	Enterococcus phage EfaCPT1	NC_025465	1351		RefSeq
1351735	Enterococcus phage IMEEF1	KF192053	1351		RefSeq
1416012	Enterococcus phage IME_EF3	NC_023595	1351		RefSeq
1458851	Enterococcus phage VD13	NC_024212	1351		RefSeq
1486428	Enterococcus phage EFC-1	NC_025453	1351		RefSeq
1498168	Enterococcus phage ECP3	NC_027335	1351		RefSeq
1597976	Enterococcus phage EFDG1	NC_029009	1351		RefSeq
1640885	Enterococcus phage EFLK1	NC_029026	1351		RefSeq
1747287	Enterococcus phage vB_EfaS_IME198	NC_029016	1351		RefSeq
1747288	Enterococcus phage vB_EfaP_IME195	NC_028693	1351		RefSeq
1747289	Enterococcus phage vB_EfaS_IME196	NC_028990	1351		RefSeq
1747326	Enterococcus phage vB_EfaS_IME197	NC_028671	1351		RefSeq
442493	Enterococcus phage phiEF24C	NC_009904	1351		"RefSeq, UniProt"
627087	Enterococcus phage EFAP-1	NC_012419	1351		RefSeq
663241	Enterococcus phage phiEf11	NC_013696	1351		RefSeq
673832	Enterococcus phage phiFL1A	NC_013646	1351		RefSeq
673833	Enterococcus phage phiFL1B	GQ478082	1351		RefSeq
673834	Enterococcus phage phiFL1C	GQ478083	1351		RefSeq
673835	Enterococcus phage phiFL2A	NC_013643	1351		RefSeq
673836	Enterococcus phage phiFL2B	GQ478085	1351		RefSeq
673837	Enterococcus phage phiFL3A	NC_013648	1351		RefSeq
673838	Enterococcus phage phiFL3B	GQ478087	1351		RefSeq
673839	Enterococcus phage phiFL4A	NC_013644	1351		RefSeq
767806	Enterococcus phage EFRM31	NC_015270	1351		RefSeq
947379	Enterococcus phage phiEF24C-P2	AB609718	1351		RefSeq
1161939	Enterococcus phage vB_Efae230P-4	NC_025467	1352		RefSeq
1445858	Enterococcus phage IME-EFm1	NC_024356	1352		RefSeq
1647400	Enterococcus phage Ec-ZZ2	NC_031260	1352		RefSeq
1718158	Enterococcus phage IME-EFm5	NC_028826	1352		RefSeq
1029988	Erwinia phage phiEaH2	NC_019929	552		RefSeq
1051673	Erwinia phage vB_EamP-L1	NC_019510	552		RefSeq
1051674	Erwinia phage vB_EamM-M7	HQ728263	552		RefSeq
1051675	Erwinia phage vB_EamP-S6	NC_019514	552		RefSeq
1051676	Erwinia phage vB_EamM-Y2	NC_019504	552		RefSeq
1401669	Erwinia phage PhiEaH1	NC_023610	552		RefSeq
1429767	Erwinia phage Ea9-2	NC_023579	552		RefSeq
1429768	Erwinia phage Ea35-70	NC_023557	552		RefSeq
1564096	Erwinia phage phiEa2809	NC_027340	552		RefSeq
1883370	Erwinia phage vB_EamM_Asesino	NC_031107	552		RefSeq
1883371	Erwinia phage vB_EamM_ChrisDB	NC_031126	552		RefSeq
1883372	Erwinia phage vB_EamM_EarlPhillipIV	NC_031007	552		RefSeq
1883373	Erwinia phage vB_EamM_Huxley	NC_031127	552		RefSeq
1883374	Erwinia phage vB_EamM_Kwan	NC_031010	552		RefSeq
1883377	Erwinia phage vB_EamM_Phobos	NC_031043	552		RefSeq
1883379	Erwinia phage vB_EamM_Caitlin	NC_031120	552		RefSeq
418443	Erwinia amylovora phage Era103	NC_009014	552		RefSeq
557393	Erwinia phage phiEa21-4	NC_011811	552		RefSeq
925983	Erwinia phage phiEa100	NC_019926	552	21097611	Literature
925986	Erwinia phage phiEa104	NC_015292	552	21097611	Literature
947843	Erwinia phage ENT90	NC_019932	552		RefSeq
1675317	Erysipelothrix phage SE-1	NC_029078	1648		RefSeq
103807	Enterobacteria phage phiP27	NC_003356	562		RefSeq
1052121	Enterobacteria phage Bp7	NC_019500	562		RefSeq
1054461	Escherichia phage vB_EcoP_G7C	NC_015933	562	22341309	Literature
1054480	Escherichia phage wV7	NC_019505	562		RefSeq
1054834	Escherichia phage ime09	NC_019503	562		RefSeq
10658	Enterobacteria phage PRD1	NC_001421	562	4211861	Literature
10665	Enterobacteria phage T4	NC_000866	562		"RefSeq, UniProt"
10677	Escherichia virus Mu	NC_000929	562		RefSeq
10678	Escherichia virus P1	NC_005856	562		RefSeq
10679	Escherichia virus P2	NC_001895	562		RefSeq
10682	Enterobacteria phage P7	AF503408	562		UniProt
10693	Enterobacteria phage RB51	NC_012635	562		UniProt
10710	Escherichia virus Lambda	NC_001416	562		"RefSeq, UniProt"
10713	Enterobacteria phage phi80	NC_021190	562		"RefSeq, UniProt"
10726	Escherichia phage T5	NC_005859	562		"RefSeq, UniProt"
10742	Escherichia virus HK022	NC_002166	562		UniProt
10752	Escherichia phage N4	NC_008720	562		"RefSeq, UniProt"
1075774	Enterobacteria phage T7M	JX421753	562		RefSeq
10759	Enterobacteria phage T3	NC_003298	562		"RefSeq, UniProt"
10760	Enterobacteria phage T7	NC_001604	562		"RefSeq, UniProt"
10843	Enterobacteria phage G4	"GQ153923, JF719729, JF719730, JF719731, V00657"	562		"RefSeq, UniProt"
10847	Escherichia phage phiX174	"CP004084, EF380009, EF380010, EF380011, EF380012, EF380013, EF380014, EF380015, EF380016, EF380017, EF380018, EF380019, EF380020, EF380021, EF380022, EF380023, EF380024, EF380025, EF380026, EF380027, EF380028, EF380029, EF380030, EF380031, EF380032, FJ849058, GQ153915, HM753658, HM753659, HM753660, HM753661, HM753662, HM753663, HM753664, HM753665, HM753666, HM753667, HM753668, HM753669, HM753670, HM753671, HM753672, HM753673, HM753674, HM753675, HM753676, HM753677, HM753678, HM753679, HM753680, HM753681, HM753682, HM753683, HM753684, HM753685, HM753686, HM753687, HM753688, HM753689, HM753690, HM753691, HM753692, HM753693, HM753694, HM753695, HM753696, HM753697, HM753698, HM753699, HM753700, HM753701, HM753702, HM753703, HM753704, HM753705, HM753706, HM753707, HM753708, HM753709, HM753710, HM753711, HM753712, HM753713, HM753714, HM753715, HM753716, HM753717, HM753718, HM775306, HM775307, HM775308, HM775309, HM775310, HM775311, JF719726, JF719727, JF719728"	562	"1265478, 17407380"	"Literature, RefSeq, UniProt"
10848	Enterobacteria phage phiK	NC_001730	562		UniProt
10849	Enterobacteria phage alpha3	NC_001330	562		"RefSeq, UniProt"
10863	Enterobacteria phage f1	"GQ153919, J02448, JF719732, JF719733, JF719734"	562		"RefSeq, UniProt"
10864	Enterobacteria phage fd	NC_025824	562		UniProt
10867	Enterobacteria phage Ike	NC_002014	562		"RefSeq, UniProt"
10868	Enterobacteria phage If1	NC_001954	562		"RefSeq, UniProt"
10869	Enterobacteria phage I2-2	NC_001332	562		"RefSeq, UniProt"
10870	Enterobacteria phage M13	NC_003287	562		"RefSeq, UniProt"
1090133	Enterobacteria phage IME10	NC_019501	562		RefSeq
1112008	Escherichia phage Akfv33	NC_017969	562		RefSeq
1115653	Escherichia phage 1720a-02	KF030445	562		RefSeq
1131317	Escherichia phage FV3	NC_019517	562		RefSeq
1141139	Enterobacteria phage vB_EcoP_ACG-C91	NC_019403	562		RefSeq
1141140	Enterobacteria phage vB_EcoS_ACG-M12	NC_019404	562		RefSeq
1141141	Escherichia phage vB_EcoM_ACG-C40	NC_019399	562		RefSeq
1147142	Escherichia phage HK578	NC_019724	562		RefSeq
1147143	Enterobacteria phage HK140	NC_019710	562		RefSeq
1147144	Enterobacteria phage HK225	NC_019717	562		RefSeq
1147145	Enterobacteria phage HK446	NC_019714	562		RefSeq
1147146	Enterobacteria phage HK630	NC_019723	562		RefSeq
1147147	Enterobacteria phage HK633	NC_019719	562		RefSeq
1147148	Enterobacteria phage HK629	NC_019711	562		RefSeq
1147149	Enterobacteria phage mEp043 c-1	NC_019706	562		RefSeq
1147150	Enterobacteria phage mEp235	NC_019708	562		RefSeq
1147151	Enterobacteria phage mEp237	NC_019704	562		RefSeq
1147152	Enterobacteria phage mEp460	NC_019716	562		RefSeq
1147153	Enterobacteria phage mEpX1	NC_019709	562		RefSeq
1147154	Enterobacteria phage mEpX2	NC_019705	562		RefSeq
1147155	Enterobacteria phage vB_EcoS_Rogue1	NC_019718	562		RefSeq
1147156	Enterobacterial phage mEp213	NC_019720	562		RefSeq
1147157	Enterobacterial phage mEp234	NC_019715	562		RefSeq
1147158	Enterobacterial phage mEp390	NC_019721	562		RefSeq
12017	Enterobacteria phage fr	X15031	562		UniProt
